img,inf_time
0_rain,0.48474717140197754
1_rain,0.19427180290222168
2_rain,0.18981432914733887
3_rain,0.18946409225463867
4_rain,0.18945789337158203
5_rain,0.2352464199066162
6_rain,0.1899871826171875
7_rain,0.18967556953430176
8_rain,0.18940424919128418
9_rain,0.18903112411499023
10_rain,0.18915247917175293
11_rain,0.18973636627197266
12_rain,0.18967151641845703
13_rain,0.1894054412841797
14_rain,0.18968415260314941
15_rain,0.18950200080871582
16_rain,0.18956685066223145
17_rain,0.18926668167114258
18_rain,0.18930363655090332
19_rain,0.18945789337158203
20_rain,0.189117431640625
21_rain,0.20874905586242676
22_rain,0.18957948684692383
23_rain,0.18951916694641113
24_rain,0.18934965133666992
25_rain,0.18935680389404297
26_rain,0.20773577690124512
27_rain,0.19432973861694336
28_rain,0.19197654724121094
29_rain,0.1892693042755127
30_rain,0.18909764289855957
31_rain,0.18939471244812012
32_rain,0.1894233226776123
33_rain,0.18898344039916992
34_rain,0.1890115737915039
35_rain,0.18938755989074707
36_rain,0.18895912170410156
37_rain,0.18920564651489258
38_rain,0.18940234184265137
39_rain,0.189741849899292
40_rain,0.18927907943725586
41_rain,0.19516539573669434
42_rain,0.19217133522033691
43_rain,0.18951749801635742
44_rain,0.18929362297058105
45_rain,0.18915724754333496
46_rain,0.18941473960876465
47_rain,0.18906021118164062
48_rain,0.18932843208312988
49_rain,0.18909788131713867
50_rain,0.18879079818725586
51_rain,0.19174504280090332
52_rain,0.18901968002319336
53_rain,0.18903708457946777
54_rain,0.18872404098510742
55_rain,0.1893599033355713
56_rain,0.18885254859924316
57_rain,0.1890404224395752
avg_58imgs, 0.19626710332673172
