img,inf_time
0_rain,0.4149761199951172
1_rain,0.15155959129333496
2_rain,0.14998435974121094
3_rain,0.15014410018920898
4_rain,0.15175151824951172
5_rain,0.1875450611114502
6_rain,0.15100359916687012
7_rain,0.15138673782348633
8_rain,0.15019559860229492
9_rain,0.14977598190307617
10_rain,0.15062236785888672
11_rain,0.1501460075378418
12_rain,0.15025615692138672
13_rain,0.1527271270751953
14_rain,0.14970159530639648
15_rain,0.15107965469360352
16_rain,0.14951157569885254
17_rain,0.15693163871765137
18_rain,0.149580717086792
19_rain,0.1504201889038086
20_rain,0.15007400512695312
21_rain,0.1641378402709961
22_rain,0.15142583847045898
23_rain,0.1510603427886963
24_rain,0.15002179145812988
25_rain,0.15343737602233887
26_rain,0.16445493698120117
27_rain,0.14943623542785645
28_rain,0.15091347694396973
29_rain,0.15057635307312012
30_rain,0.15100312232971191
31_rain,0.1518862247467041
32_rain,0.15132546424865723
33_rain,0.15247416496276855
34_rain,0.15097451210021973
35_rain,0.15167570114135742
36_rain,0.15518450736999512
37_rain,0.1531505584716797
38_rain,0.15078496932983398
39_rain,0.15168404579162598
40_rain,0.15189337730407715
41_rain,0.15156936645507812
42_rain,0.14989089965820312
43_rain,0.1503584384918213
44_rain,0.15101933479309082
45_rain,0.15069222450256348
46_rain,0.15614724159240723
47_rain,0.15203189849853516
48_rain,0.15043854713439941
49_rain,0.15124821662902832
50_rain,0.14966654777526855
51_rain,0.15066766738891602
52_rain,0.1496438980102539
53_rain,0.15067028999328613
54_rain,0.1547684669494629
55_rain,0.1514427661895752
56_rain,0.1514759063720703
57_rain,0.1498556137084961
avg_58imgs, 0.15687003217894455
