img,inf_time
0_rain,0.5046634674072266
1_rain,0.2443711757659912
2_rain,0.24730515480041504
3_rain,0.2460024356842041
4_rain,0.24718689918518066
5_rain,0.3073086738586426
6_rain,0.25144052505493164
7_rain,0.24482274055480957
8_rain,0.2454051971435547
9_rain,0.24562525749206543
10_rain,0.24556207656860352
11_rain,0.24376583099365234
12_rain,0.2433910369873047
13_rain,0.2456035614013672
14_rain,0.24556660652160645
15_rain,0.24535369873046875
16_rain,0.2519817352294922
17_rain,0.24816417694091797
18_rain,0.2452538013458252
19_rain,0.24566435813903809
20_rain,0.2456514835357666
21_rain,0.270068883895874
22_rain,0.24869012832641602
23_rain,0.24564337730407715
24_rain,0.24541664123535156
25_rain,0.2456653118133545
26_rain,0.26997876167297363
27_rain,0.2530512809753418
28_rain,0.24930596351623535
29_rain,0.2457435131072998
30_rain,0.24584507942199707
31_rain,0.25098490715026855
32_rain,0.24573016166687012
33_rain,0.24591517448425293
34_rain,0.2510254383087158
35_rain,0.24582386016845703
36_rain,0.24532151222229004
37_rain,0.24634385108947754
38_rain,0.2517375946044922
39_rain,0.2486729621887207
40_rain,0.24681687355041504
41_rain,0.25203514099121094
42_rain,0.2469170093536377
43_rain,0.24628758430480957
44_rain,0.2534029483795166
45_rain,0.24920320510864258
46_rain,0.24864816665649414
47_rain,0.24634051322937012
48_rain,0.24609827995300293
49_rain,0.25141406059265137
50_rain,0.245758056640625
51_rain,0.2520182132720947
52_rain,0.2462291717529297
53_rain,0.2457714080810547
54_rain,0.251232385635376
55_rain,0.24585533142089844
56_rain,0.2516651153564453
57_rain,0.24544620513916016
avg_58imgs, 0.25365851665365285
