img,inf_time
0_rain,0.42931151390075684
1_rain,0.19383907318115234
2_rain,0.1886425018310547
3_rain,0.1902315616607666
4_rain,0.19051861763000488
5_rain,0.23662900924682617
6_rain,0.1925971508026123
7_rain,0.19044256210327148
8_rain,0.190138578414917
9_rain,0.19202804565429688
10_rain,0.18972396850585938
11_rain,0.18995380401611328
12_rain,0.1899569034576416
13_rain,0.19037675857543945
14_rain,0.18997931480407715
15_rain,0.18956518173217773
16_rain,0.18978238105773926
17_rain,0.18964934349060059
18_rain,0.19016504287719727
19_rain,0.18934297561645508
20_rain,0.18943262100219727
21_rain,0.20758485794067383
22_rain,0.1909348964691162
23_rain,0.18974637985229492
24_rain,0.1907510757446289
25_rain,0.19034409523010254
26_rain,0.21871232986450195
27_rain,0.19103598594665527
28_rain,0.191741943359375
29_rain,0.1894054412841797
30_rain,0.19043421745300293
31_rain,0.1891944408416748
32_rain,0.19011592864990234
33_rain,0.18951153755187988
34_rain,0.1895155906677246
35_rain,0.18924832344055176
36_rain,0.1893303394317627
37_rain,0.19001531600952148
38_rain,0.1897568702697754
39_rain,0.19376182556152344
40_rain,0.18940997123718262
41_rain,0.19280791282653809
42_rain,0.18925070762634277
43_rain,0.18928170204162598
44_rain,0.18954777717590332
45_rain,0.19051575660705566
46_rain,0.18994426727294922
47_rain,0.18953371047973633
48_rain,0.18948793411254883
49_rain,0.19146203994750977
50_rain,0.19044184684753418
51_rain,0.18998980522155762
52_rain,0.1891772747039795
53_rain,0.18991303443908691
54_rain,0.19012141227722168
55_rain,0.1900193691253662
56_rain,0.19002079963684082
57_rain,0.19318914413452148
avg_58imgs, 0.19599246156626735
